2026-06-24 14:38:37 INFO  yatra_search_flight : Testcase Execution is started and browser launched : chrome
2026-06-24 14:38:51 INFO  yatra_search_flight : Testcase Execution is started and browser launched : firefox
2026-06-24 14:38:55 INFO  Element clicked : By.xpath: //div[contains(@aria-label,'Departure From')]
2026-06-24 14:38:56 INFO  Boston: Text entered in element : By.xpath: //label[text()='Departure From']/..//input
2026-06-24 14:38:59 INFO  Element clicked : By.xpath: //li//span[text()='Boston']
2026-06-24 14:39:00 INFO  Element clicked : By.xpath: //div[contains(@aria-label,'Going To')]
2026-06-24 14:39:00 INFO  Amsterdam: Text entered in element : By.xpath: //label[text()='Going To']/..//input
2026-06-24 14:39:02 INFO  Element clicked : By.xpath: //li//span[text()='Amsterdam']
2026-06-24 14:39:02 INFO  Element clicked : By.xpath: //span[text()='Departure Date']/ancestor::div[contains(@aria-label,'Departure Date')]
2026-06-24 14:39:02 INFO  Element : By.xpath: //div[contains(@class,'yatra-calendar')]is set to displayed : true
2026-06-24 14:39:02 INFO  1 : Element found for the locator : By.xpath: //div[@class='header-content-wrapper']//span[text()='June 2026']
2026-06-24 14:39:04 INFO  Element clicked : By.xpath: //div[@class='react-datepicker__month-container'][.//span[contains(.,'June') and contains(.,'2026')]]//div[contains(@aria-label,'Choose')]/span[contains(text(),'25')]
2026-06-24 14:39:04 INFO  Element clicked : By.xpath: //span[text()='Return Date']/ancestor::div[contains(@aria-label,'Return Date')]
2026-06-24 14:39:04 INFO  Element : By.xpath: //div[contains(@class,'yatra-calendar')]is set to displayed : true
2026-06-24 14:39:04 INFO  1 : Element found for the locator : By.xpath: //div[@class='header-content-wrapper']//span[text()='July 2026']
2026-06-24 14:39:05 INFO  Element clicked : By.xpath: //div[@class='react-datepicker__month-container'][.//span[contains(.,'July') and contains(.,'2026')]]//div[contains(@aria-label,'Choose')]/span[contains(text(),'3')]
2026-06-24 14:39:06 INFO  Element clicked : By.xpath: //div[contains(@aria-label,'Departure From')]
2026-06-24 14:39:06 INFO  Element clicked : By.xpath: //span[text()='Travellers & Class']/ancestor::div[contains(@aria-label,'Travellers class')]
2026-06-24 14:39:06 INFO  Boston: Text entered in element : By.xpath: //label[text()='Departure From']/..//input
2026-06-24 14:39:06 INFO  Element : By.xpath: //button[text()='Done']is set to displayed : true
2026-06-24 14:39:07 INFO  Element clicked : By.xpath: //p[text()='Adult']/following-sibling::div//li[text()='1']
2026-06-24 14:39:07 INFO  Element clicked : By.xpath: //p[text()='Child']/following-sibling::div//li[text()='1']
